Year|MissingDistricts|Source|Horizons.Partner|DistrictName
2017-18|18902|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2017-18|20400|PSInst_Source_Dis_Missing_Dis|ESD 112|Trout Lake
2017-18|20401|PSInst_Source_Dis_Missing_Dis|ESD 112|Glenwood
2017-18|20402|PSInst_Source_Dis_Missing_Dis|ESD 112|Klickitat
2017-18|20406|PSInst_Source_Dis_Missing_Dis|ESD 112|Lyle
2017-18|36250|PSInst_Source_Dis_Missing_Dis|United Way of the Blue Mountains|College Place
2018-19|05903|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Quileute Tribal School District
2018-19|18902|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2018-19|20401|PSInst_Source_Dis_Missing_Dis|ESD 112|Glenwood
2018-19|20402|PSInst_Source_Dis_Missing_Dis|ESD 112|Klickitat
2018-19|25155|PSInst_Source_Dis_Missing_Dis|ESD 112|Naselle-Grays River Valley
2019-20|05313|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Crescent
2019-20|05903|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Quileute Tribal School District
2019-20|18902|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2019-20|20401|PSInst_Source_Dis_Missing_Dis|ESD 112|Glenwood
2019-20|20402|PSInst_Source_Dis_Missing_Dis|ESD 112|Klickitat
2019-20|20406|PSInst_Source_Dis_Missing_Dis|ESD 112|Lyle
2020-21|05313|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Crescent
2020-21|05903|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Quileute Tribal School District
2020-21|18902|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2020-21|20401|PSInst_Source_Dis_Missing_Dis|ESD 112|Glenwood
2020-21|20402|PSInst_Source_Dis_Missing_Dis|ESD 112|Klickitat
2020-21|20406|PSInst_Source_Dis_Missing_Dis|ESD 112|Lyle
2021-22|05313|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Crescent
2021-22|05903|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Quileute Tribal School District
2021-22|18902|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2021-22|20401|PSInst_Source_Dis_Missing_Dis|ESD 112|Glenwood
2021-22|20402|PSInst_Source_Dis_Missing_Dis|ESD 112|Klickitat
2021-22|20406|PSInst_Source_Dis_Missing_Dis|ESD 112|Lyle
2021-22|36402|PSInst_Source_Dis_Missing_Dis|United Way of the Blue Mountains|Prescott
2022-23|05313|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Crescent
2022-23|05903|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Quileute Tribal School District
2022-23|07002|PSInst_Source_Dis_Missing_Dis|United Way of the Blue Mountains|Dayton
2022-23|18902|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2022-23|20401|PSInst_Source_Dis_Missing_Dis|ESD 112|Glenwood
2022-23|20402|PSInst_Source_Dis_Missing_Dis|ESD 112|Klickitat
2022-23|20406|PSInst_Source_Dis_Missing_Dis|ESD 112|Lyle
2022-23|35200|PSInst_Source_Dis_Missing_Dis|ESD 112|Wahkiakum
2022-23|36402|PSInst_Source_Dis_Missing_Dis|United Way of the Blue Mountains|Prescott
2023-24|05903|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Quileute Tribal School District
2023-24|07002|PSInst_Source_Dis_Missing_Dis|United Way of the Blue Mountains|Dayton
2023-24|16048|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Quilcene
2023-24|18902|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2023-24|20400|PSInst_Source_Dis_Missing_Dis|ESD 112|Trout Lake
2023-24|20401|PSInst_Source_Dis_Missing_Dis|ESD 112|Glenwood
2023-24|20402|PSInst_Source_Dis_Missing_Dis|ESD 112|Klickitat
2023-24|20406|PSInst_Source_Dis_Missing_Dis|ESD 112|Lyle
2023-24|36402|PSInst_Source_Dis_Missing_Dis|United Way of the Blue Mountains|Prescott
2014|05903|SankeyDataModel_Missing_Dis|West Sound STEM|Quileute Tribal School District
2014|16048|SankeyDataModel_Missing_Dis|West Sound STEM|Quilcene
2014|18902|SankeyDataModel_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2014|20400|SankeyDataModel_Missing_Dis|ESD 112|Trout Lake
2014|20401|SankeyDataModel_Missing_Dis|ESD 112|Glenwood
2014|20402|SankeyDataModel_Missing_Dis|ESD 112|Klickitat
2014|20406|SankeyDataModel_Missing_Dis|ESD 112|Lyle
2014|36250|SankeyDataModel_Missing_Dis|United Way of the Blue Mountains|College Place
2015|05903|SankeyDataModel_Missing_Dis|West Sound STEM|Quileute Tribal School District
2015|16048|SankeyDataModel_Missing_Dis|West Sound STEM|Quilcene
2015|18902|SankeyDataModel_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2015|20400|SankeyDataModel_Missing_Dis|ESD 112|Trout Lake
2015|20401|SankeyDataModel_Missing_Dis|ESD 112|Glenwood
2015|20402|SankeyDataModel_Missing_Dis|ESD 112|Klickitat
2015|20406|SankeyDataModel_Missing_Dis|ESD 112|Lyle
2015|36250|SankeyDataModel_Missing_Dis|United Way of the Blue Mountains|College Place
2016|05313|SankeyDataModel_Missing_Dis|West Sound STEM|Crescent
2016|05903|SankeyDataModel_Missing_Dis|West Sound STEM|Quileute Tribal School District
2016|18902|SankeyDataModel_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2016|20401|SankeyDataModel_Missing_Dis|ESD 112|Glenwood
2016|20402|SankeyDataModel_Missing_Dis|ESD 112|Klickitat
2016|36250|SankeyDataModel_Missing_Dis|United Way of the Blue Mountains|College Place
2017|05313|SankeyDataModel_Missing_Dis|West Sound STEM|Crescent
2017|05903|SankeyDataModel_Missing_Dis|West Sound STEM|Quileute Tribal School District
2017|18902|SankeyDataModel_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2017|20400|SankeyDataModel_Missing_Dis|ESD 112|Trout Lake
2017|20401|SankeyDataModel_Missing_Dis|ESD 112|Glenwood
2017|20402|SankeyDataModel_Missing_Dis|ESD 112|Klickitat
2017|20406|SankeyDataModel_Missing_Dis|ESD 112|Lyle
2017|36250|SankeyDataModel_Missing_Dis|United Way of the Blue Mountains|College Place
2018|05903|SankeyDataModel_Missing_Dis|West Sound STEM|Quileute Tribal School District
2018|18902|SankeyDataModel_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2018|20401|SankeyDataModel_Missing_Dis|ESD 112|Glenwood
2018|20402|SankeyDataModel_Missing_Dis|ESD 112|Klickitat
2018|25155|SankeyDataModel_Missing_Dis|ESD 112|Naselle-Grays River Valley
2019|05313|SankeyDataModel_Missing_Dis|West Sound STEM|Crescent
2019|05903|SankeyDataModel_Missing_Dis|West Sound STEM|Quileute Tribal School District
2019|18902|SankeyDataModel_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2019|20401|SankeyDataModel_Missing_Dis|ESD 112|Glenwood
2019|20402|SankeyDataModel_Missing_Dis|ESD 112|Klickitat
2019|20406|SankeyDataModel_Missing_Dis|ESD 112|Lyle
2020|05313|SankeyDataModel_Missing_Dis|West Sound STEM|Crescent
2020|05903|SankeyDataModel_Missing_Dis|West Sound STEM|Quileute Tribal School District
2020|18902|SankeyDataModel_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2020|20401|SankeyDataModel_Missing_Dis|ESD 112|Glenwood
2020|20402|SankeyDataModel_Missing_Dis|ESD 112|Klickitat
2020|20406|SankeyDataModel_Missing_Dis|ESD 112|Lyle
2021|05313|SankeyDataModel_Missing_Dis|West Sound STEM|Crescent
2021|05903|SankeyDataModel_Missing_Dis|West Sound STEM|Quileute Tribal School District
2021|18902|SankeyDataModel_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2021|20401|SankeyDataModel_Missing_Dis|ESD 112|Glenwood
2021|20402|SankeyDataModel_Missing_Dis|ESD 112|Klickitat
2021|20406|SankeyDataModel_Missing_Dis|ESD 112|Lyle
2021|36402|SankeyDataModel_Missing_Dis|United Way of the Blue Mountains|Prescott
2022|05313|SankeyDataModel_Missing_Dis|West Sound STEM|Crescent
2022|05903|SankeyDataModel_Missing_Dis|West Sound STEM|Quileute Tribal School District
2022|07002|SankeyDataModel_Missing_Dis|United Way of the Blue Mountains|Dayton
2022|18902|SankeyDataModel_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2022|20401|SankeyDataModel_Missing_Dis|ESD 112|Glenwood
2022|20402|SankeyDataModel_Missing_Dis|ESD 112|Klickitat
2022|20406|SankeyDataModel_Missing_Dis|ESD 112|Lyle
2022|35200|SankeyDataModel_Missing_Dis|ESD 112|Wahkiakum
2022|36402|SankeyDataModel_Missing_Dis|United Way of the Blue Mountains|Prescott
2023|05903|SankeyDataModel_Missing_Dis|West Sound STEM|Quileute Tribal School District
2023|07002|SankeyDataModel_Missing_Dis|United Way of the Blue Mountains|Dayton
2023|16048|SankeyDataModel_Missing_Dis|West Sound STEM|Quilcene
2023|18902|SankeyDataModel_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2023|20400|SankeyDataModel_Missing_Dis|ESD 112|Trout Lake
2023|20401|SankeyDataModel_Missing_Dis|ESD 112|Glenwood
2023|20402|SankeyDataModel_Missing_Dis|ESD 112|Klickitat
2023|20406|SankeyDataModel_Missing_Dis|ESD 112|Lyle
2023|36402|SankeyDataModel_Missing_Dis|United Way of the Blue Mountains|Prescott
