Program Partnership,Region Type,Region Name,FAFSA Completion Rate,High School Academic Year,Demographic Name,Demographic Method,ReportDate
PREP - Tier 2,Region,ALL PREP - Tier 2,0.499778271,2018-2019,All Students,All Students,10/1/2019
PREP - Tier 2,Region,ALL PREP - Tier 2,0.510948905,2014-2015,All Students,All Students,10/1/2015
PSESD,District,Federal Way School District,0.462048193,2014-2015,All Students,All Students,10/1/2015
PSESD,District,Federal Way School District,0.472375691,2015-2016,All Students,All Students,10/1/2016
PSESD,District,Federal Way School District,0.542718968,2016-2017,All Students,All Students,10/1/2017
PSESD,District,Federal Way School District,0.634037108,2018-2019,All Students,All Students,10/1/2019
PSESD,District,Federal Way School District,0.635074146,2017-2018,All Students,All Students,10/1/2018
PSESD,District,Federal Way School District,0.672284644,2019-2020,All Students,All Students,10/1/2020
PSESD,District,Highline School District,0.468646865,2014-2015,All Students,All Students,10/1/2015
PSESD,District,Highline School District,0.51503006,2016-2017,All Students,All Students,10/1/2017
PSESD,District,Highline School District,0.518779343,2019-2020,All Students,All Students,10/1/2020
PSESD,District,Highline School District,0.53854506,2015-2016,All Students,All Students,10/1/2016
PSESD,District,Highline School District,0.558603491,2018-2019,All Students,All Students,10/1/2019
PSESD,District,Highline School District,0.595296026,2017-2018,All Students,All Students,10/1/2018
PSESD,District,Tukwila School District,0.628140704,2018-2019,All Students,All Students,10/1/2019
PSESD,District,Tukwila School District,0.630331754,2016-2017,All Students,All Students,10/1/2017
PSESD,District,Tukwila School District,0.646788991,2014-2015,All Students,All Students,10/1/2015
PSESD,District,Tukwila School District,0.664948454,2017-2018,All Students,All Students,10/1/2018
PSESD,District,Tukwila School District,0.676923077,2015-2016,All Students,All Students,10/1/2016
PSESD,District,Tukwila School District,0.765486726,2019-2020,All Students,All Students,10/1/2020
PSESD,Region,ALL PSESD,0.478650879,2014-2015,All Students,All Students,10/1/2015
PSESD,Region,ALL PSESD,0.50683527,2015-2016,All Students,All Students,10/1/2016
PSESD,Region,ALL PSESD,0.539739414,2016-2017,All Students,All Students,10/1/2017
PSESD,Region,ALL PSESD,0.603035413,2018-2019,All Students,All Students,10/1/2019
PSESD,Region,ALL PSESD,0.615904701,2019-2020,All Students,All Students,10/1/2020
PSESD,Region,ALL PSESD,0.620550705,2017-2018,All Students,All Students,10/1/2018
Elevate,District,College Place School District,0.459459459,2019-2020,All Students,All Students,10/1/2020
Elevate,District,College Place School District,0.629032258,2014-2015,All Students,All Students,10/1/2015
Elevate,District,College Place School District,0.635416667,2017-2018,All Students,All Students,10/1/2018
Elevate,District,College Place School District,0.655555556,2018-2019,All Students,All Students,10/1/2019
Elevate,District,Dayton School District,,2015-2016,All Students,All Students,10/1/2016
Elevate,District,Dayton School District,0.47826087,2019-2020,All Students,All Students,10/1/2020
Elevate,District,Dayton School District,0.615384615,2014-2015,All Students,All Students,10/1/2015
Elevate,District,Dayton School District,0.75,2016-2017,All Students,All Students,10/1/2017
Elevate,District,Dayton School District,0.75,2018-2019,All Students,All Students,10/1/2019
Elevate,District,Dayton School District,0.823529412,2017-2018,All Students,All Students,10/1/2018
Elevate,District,Walla Walla School District,0.515828678,2015-2016,All Students,All Students,10/1/2016
Elevate,District,Walla Walla School District,0.533653846,2019-2020,All Students,All Students,10/1/2020
Elevate,District,Walla Walla School District,0.597249509,2014-2015,All Students,All Students,10/1/2015
Elevate,District,Walla Walla School District,0.634020619,2017-2018,All Students,All Students,10/1/2018
Elevate,District,Walla Walla School District,0.639705882,2018-2019,All Students,All Students,10/1/2019
Elevate,District,Walla Walla School District,0.655889145,2016-2017,All Students,All Students,10/1/2017
Elevate,Region,ALL Elevate,0.501811594,2015-2016,All Students,All Students,10/1/2016
Elevate,Region,ALL Elevate,0.516363636,2019-2020,All Students,All Students,10/1/2020
Elevate,Region,ALL Elevate,0.601639344,2014-2015,All Students,All Students,10/1/2015
Elevate,Region,ALL Elevate,0.640718563,2017-2018,All Students,All Students,10/1/2018
Elevate,Region,ALL Elevate,0.647509579,2018-2019,All Students,All Students,10/1/2019
Elevate,Region,ALL Elevate,0.661605206,2016-2017,All Students,All Students,10/1/2017
